"AGGFACT_CODE","BI_CODE"
"AGGFACT:1","MEDPOE:19694"
"AGGFACT:1","MEDPOE:19717"
"AGGFACT:1","MEDPOE:20164"
"AGGFACT:1","MEDPOE:2956"
"AGGFACT:1","MEDPOE:19718"
"AGGFACT:1","MEDPOE:19736"
"AGGFACT:1","MEDPOE:19681"
"AGGFACT:1","MEDPOE:19706"
"AGGFACT:1","MEDPOE:19708"
"AGGFACT:1","MEDPOE:19714"
"AGGFACT:1","MEDPOE:19727"
"AGGFACT:1","MEDPOE:20167"
"AGGFACT:1","MEDPOE:21814"
"AGGFACT:1","MEDPOE:19716"
"AGGFACT:1","MEDPOE:19740"
"AGGFACT:1","MEDPOE:15742"
"AGGFACT:1","MEDPOE:19711"
"AGGFACT:1","MEDPOE:19683"
"AGGFACT:1","MEDPOE:19685"
"AGGFACT:1","MEDPOE:19732"
"AGGFACT:1","MEDPOE:19712"
"AGGFACT:1","MEDPOE:19724"
"AGGFACT:1","MEDPOE:19733"
"AGGFACT:1","MEDPOE:19726"
"AGGFACT:1","MEDPOE:2827"
"AGGFACT:1","MEDPOE:19691"
"AGGFACT:1","MEDPOE:20163"
"AGGFACT:1","MEDPOE:20168"
"AGGFACT:1","MEDPOE:21227"
"AGGFACT:1","MEDPOE:21816"
"AGGFACT:1","MEDPOE:4216"
"AGGFACT:1","MEDPOE:8251"
"AGGFACT:1","MEDPOE:20171"
"AGGFACT:1","MEDPOE:20194"
"AGGFACT:1","MEDPOE:21818"
"AGGFACT:1","MEDPOE:21819"
"AGGFACT:1","MEDPOE:19687"
"AGGFACT:1","MEDPOE:5428"
"AGGFACT:1","MEDPOE:19713"
"AGGFACT:1","MEDPOE:20190"
"AGGFACT:1","MEDPOE:20181"
"AGGFACT:1","MEDPOE:21824"
"AGGFACT:1","MEDPOE:1665"
"AGGFACT:1","MEDPOE:21825"
"AGGFACT:1","MEDOMR:68"
"AGGFACT:1","MEDOMR:2341"
"AGGFACT:1","MEDOMR:3486"
"AGGFACT:1","MEDOMR:24063"
"AGGFACT:1","MEDOMR:34650"
"AGGFACT:1","MEDOMR:36980"
"AGGFACT:1","MEDOMR:49414"
"AGGFACT:1","MEDOMR:49472"
"AGGFACT:1","MEDOMR:49473"
"AGGFACT:1","MEDOMR:74968"
"AGGFACT:1","MEDOMR:78137"
"AGGFACT:1","MEDOMR:78138"
"AGGFACT:1","MEDOMR:78182"
"AGGFACT:1","MEDOMR:78190"
"AGGFACT:1","MEDOMR:78191"
"AGGFACT:1","MEDOMR:78192"
"AGGFACT:1","MEDOMR:78240"
"AGGFACT:1","MEDOMR:78242"
"AGGFACT:1","MEDOMR:78252"
"AGGFACT:1","MEDOMR:78254"
"AGGFACT:1","MEDOMR:78255"
"AGGFACT:1","MEDOMR:78256"
"AGGFACT:1","MEDOMR:78258"
"AGGFACT:1","MEDOMR:78259"
"AGGFACT:1","MEDOMR:78260"
"AGGFACT:1","MEDOMR:78261"
"AGGFACT:1","MEDOMR:78268"
"AGGFACT:1","MEDOMR:78304"
"AGGFACT:1","MEDOMR:78307"
"AGGFACT:1","MEDOMR:78314"
"AGGFACT:1","MEDOMR:78322"
"AGGFACT:1","MEDOMR:78323"
"AGGFACT:1","MEDOMR:78370"
"AGGFACT:1","MEDOMR:78371"
"AGGFACT:1","MEDOMR:78373"
"AGGFACT:1","MEDOMR:78376"
"AGGFACT:1","MEDOMR:78378"
"AGGFACT:1","MEDOMR:78380"
"AGGFACT:1","MEDOMR:78383"
"AGGFACT:1","MEDOMR:78384"
"AGGFACT:1","MEDOMR:78615"
"AGGFACT:1","MEDOMR:78635"
"AGGFACT:1","MEDOMR:78680"
"AGGFACT:1","MEDOMR:79620"
"AGGFACT:1","MEDOMR:80287"
"AGGFACT:1","MEDOMR:80363"
"AGGFACT:1","MEDOMR:80364"
"AGGFACT:1","MEDOMR:80365"
"AGGFACT:1","MEDOMR:80366"
"AGGFACT:1","MEDOMR:80367"
"AGGFACT:1","MEDOMR:80368"
"AGGFACT:1","MEDOMR:80370"
"AGGFACT:1","MEDOMR:80371"
"AGGFACT:1","MEDOMR:80373"
"AGGFACT:1","MEDOMR:80374"
"AGGFACT:1","MEDOMR:80387"
"AGGFACT:1","MEDOMR:80390"
"AGGFACT:1","MEDOMR:80394"
"AGGFACT:1","MEDOMR:80395"
"AGGFACT:1","MEDOMR:80396"
"AGGFACT:1","MEDOMR:93683"
"AGGFACT:1","MEDOMR:93711"
"AGGFACT:1","MEDOMR:93712"
"AGGFACT:1","MEDOMR:93713"
"AGGFACT:1","MEDOMR:93714"
"AGGFACT:1","MEDOMR:93715"
"AGGFACT:1","MEDOMR:93716"
"AGGFACT:1","MEDOMR:93727"
"AGGFACT:1","MEDOMR:93728"
"AGGFACT:1","MEDOMR:93731"
"AGGFACT:1","MEDOMR:93732"
"AGGFACT:1","MEDOMR:93751"
"AGGFACT:1","MEDOMR:108355"
"AGGFACT:1","MEDOMR:109915"
"AGGFACT:1","MEDPOE:8246"
"AGGFACT:1","MEDPOE:13160"
"AGGFACT:1","MEDPOE:13161"
"AGGFACT:1","MEDPOE:13162"
"AGGFACT:1","MEDPOE:13163"
"AGGFACT:1","MEDPOE:13172"
"AGGFACT:1","MEDPOE:13173"
"AGGFACT:1","MEDPOE:13174"
"AGGFACT:1","MEDPOE:13183"
"AGGFACT:1","MEDPOE:13184"
"AGGFACT:1","MEDPOE:13195"
"AGGFACT:1","MEDPOE:13196"
"AGGFACT:1","MEDPOE:13197"
"AGGFACT:1","MEDPOE:13198"
"AGGFACT:1","MEDPOE:13218"
"AGGFACT:1","MEDPOE:13219"
"AGGFACT:1","MEDPOE:13236"
"AGGFACT:1","MEDPOE:13237"
"AGGFACT:1","MEDPOE:13258"
"AGGFACT:1","MEDPOE:13259"
"AGGFACT:1","MEDPOE:13260"
"AGGFACT:1","MEDPOE:13289"
"AGGFACT:1","MEDPOE:13293"
"AGGFACT:1","MEDPOE:13294"
"AGGFACT:1","MEDPOE:13309"
"AGGFACT:1","MEDPOE:13310"
"AGGFACT:1","MEDPOE:13311"
"AGGFACT:1","MEDPOE:13312"
"AGGFACT:1","MEDPOE:13313"
"AGGFACT:1","MEDPOE:13314"
"AGGFACT:1","MEDPOE:13320"
"AGGFACT:1","MEDPOE:13321"
"AGGFACT:1","MEDPOE:13322"
"AGGFACT:1","MEDPOE:13323"
"AGGFACT:1","MEDPOE:13344"
"AGGFACT:1","MEDPOE:13345"
"AGGFACT:1","MEDPOE:13346"
"AGGFACT:1","MEDPOE:13347"
"AGGFACT:1","MEDPOE:13348"
"AGGFACT:1","MEDPOE:13349"
"AGGFACT:1","MEDPOE:13350"
"AGGFACT:1","MEDPOE:13351"
"AGGFACT:1","MEDPOE:13352"
"AGGFACT:1","MEDPOE:13353"
"AGGFACT:1","MEDPOE:13354"
"AGGFACT:1","MEDPOE:13355"
"AGGFACT:1","MEDPOE:13356"
"AGGFACT:1","MEDPOE:13398"
"AGGFACT:1","MEDPOE:13399"
"AGGFACT:1","MEDPOE:13449"
"AGGFACT:1","MEDPOE:13450"
"AGGFACT:1","MEDPOE:20165"
"AGGFACT:1","MEDPOE:24113"
"AGGFACT:1","MEDPOE:27730"
"AGGFACT:1","MEDPOE:27731"
"AGGFACT:1","MEDPOE:27739"
"AGGFACT:1","MEDPOE:27740"
"AGGFACT:1","MEDPOE:27746"
"AGGFACT:1","MEDPOE:27754"
"AGGFACT:1","MEDPOE:27767"
"AGGFACT:1","MEDPOE:27768"
"AGGFACT:1","MEDPOE:27779"
"AGGFACT:1","MEDPOE:27786"
"AGGFACT:1","MEDPOE:27787"
"AGGFACT:1","MEDPOE:27788"
"AGGFACT:1","MEDPOE:27793"
"AGGFACT:1","MEDPOE:27794"
"AGGFACT:1","MEDPOE:27814"
"AGGFACT:1","MEDPOE:2958"
"AGGFACT:1","MEDPOE:2959"
"AGGFACT:1","MEDPOE:2964"
"AGGFACT:1","MEDPOE:2965"
"AGGFACT:1","MEDPOE:2966"
"AGGFACT:1","MEDPOE:19623"
"AGGFACT:1","MEDPOE:19624"
"AGGFACT:1","MEDPOE:19625"
"AGGFACT:1","MEDPOE:19635"
"AGGFACT:1","MEDPOE:19636"
"AGGFACT:1","MEDPOE:19665"
"AGGFACT:1","MEDPOE:19666"
"AGGFACT:1","MEDPOE:19667"
"AGGFACT:1","MEDPOE:19668"
"AGGFACT:1","MEDPOE:19669"
"AGGFACT:1","MEDPOE:20166"
"AGGFACT:1","MEDPOE:24742"
"AGGFACT:1","MEDPOE:24743"
"AGGFACT:1","MEDPOE:29579"
"AGGFACT:1","MEDPOE:29588"
"AGGFACT:1","MEDPOE:29590"
"AGGFACT:1","MEDPOE:19682"
"AGGFACT:1","MEDPOE:19689"
"AGGFACT:1","MEDPOE:19695"
"AGGFACT:1","MEDPOE:19699"
"AGGFACT:1","MEDPOE:19701"
